Clave Pais;Pais
102;Austria
103;Bélgica
104;Bulgaria
106;Chipre
107;Dinamarca
109;Finlandia
110;Francia
111;Grecia
112;Hungría
113;Irlanda
114;Islandia
115;Italia
117;Luxemburgo
118;Malta
119;Mónaco
120;Noruega
121;Países Bajos
122;Polonia
123;Portugal
124;Andorra
125;Reino Unido
126;Alemania
128;Rumania
130;Vaticano
131;Suecia
132;Suiza
135;Ucrania
136;Letonia
138;Bielorrusia
141;Estonia
142;Lituania
143;República Checa
144;Eslovaquia
145;Bosnia-Herzegovina
146;Croacia
147;Eslovenia
148;Armenia
154;Rusia
155;Yugoslavia
156;Macedonia
157;Serbia
213;Egipto
224;Libia
228;Marruecos
236;Sudáfrica
248;Túnez
250;Republica democrática del Congo
301;Canadá
302;EE.UU.
303;México
314;Costa rica
315;Cuba
316;Dominica
317;El salvador
319;Guatemala
320;Haití
321;Honduras
323;Nicaragua
324;Panamá
326;República dominicana
340;Argentina
341;Bolivia
342;Brasil
343;Colombia
344;Chile
345;Ecuador
347;Paraguay
348;Perú
350;Uruguay
351;Venezuela
390;Puerto rico
402;Arabia saudita
404;Bangladesh
407;China
408;Emiratos árabes unidos
409;Filipinas
410;India
411;Indonesia
412;Iraq
413;Irán
414;Israel
415;Japón
416;Jordania
418;Kuwait
420;Líbano
421;Malasia
423;Mongolia
426;Pakistán
427;Qatar
428;República de Yemen
430;República de corea - corea del sur
432;Singapur
434;Sri Lanka
435;Tailandia
436;Turquía
437;Vietnam
438;Taiwán
439;Brunei
441;Yemen
443;Kazajstán
444;Kirguistán
446;Turkmenistán
447;Uzbekistán
501;Australia
504;Nueva Zelanda
505;Papua nueva guinea
511;Micronesia
