PAIS;Pais_text
101;Albania
102;Austria
103;Bélgica
104;Bulgaria
106;Chipre
107;Dinamarca
108;España
109;Finlandia
110;Francia
111;Grecia
112;Hungría
113;Irlanda
114;Islandia
115;Italia
116;Liechtenstein
117;Luxemburgo
118;Malta
119;Mónaco
120;Noruega
121;Países Bajos
122;Polonia
123;Portugal
124;Andorra
125;Reino Unido
126;Alemania
128;Rumania
129;San marino
130;Vaticano
131;Suecia
132;Suiza
135;Ucrania
136;Letonia
137;Moldavia / moldava
138;Bielorrusia
139;Georgia
141;Estonia
142;Lituania
143;República Checa
144;Eslovaquia
145;Bosnia-Herzegovina
146;Croacia
147;Eslovenia
148;Armenia
154;Rusia
155;Yugoslavia
156;Macedonia
157;Serbia
158;Montenegro
199;Otros Europa
201;Burkina faso
202;Angola
203;Argelia
204;Benín
205;Bostwana
206;Burundi
207;Cabo verde
208;Camerún
209;Comoras
210;Congo
211;Costa de marfil
212;Djibouti
213;Egipto
214;Etiopia
215;Gabón
216;Gambia
217;Ghana
218;Republica de guinea
219;Guinea Bissau
220;Guinea ecuatorial
221;Kenia
222;Lesoto
223;Liberia
224;Libia
225;Madagascar
226;Malawi
227;Mali
228;Marruecos
229;República de Mauricio
230;Mauritania
231;Mozambique
232;Namibia
233;Níger
234;Nigeria
235;República centroafricana
236;Sudáfrica
237;Ruanda
238;Santo tome y príncipe
239;Senegal
240;Seychelles
241;Sierra leona
242;Somalia
243;Sudan
244;Swaziland
245;Tanzania
246;Chad
247;Togo
248;Túnez
249;Uganda
250;Republica democrática del Congo
251;Zambia
252;Zimbabwe
253;Eritrea
299;África
301;Canadá
302;EE.UU.
303;México
310;Antigua y barbuda
311;Bahamas
312;Barbados
313;Belice
314;Costa rica
315;Cuba
316;Dominica
317;El salvador
318;Granada
319;Guatemala
320;Haití
321;Honduras
322;Jamaica
323;Nicaragua
324;Panamá
325;San Vicente y las granadinas
326;República dominicana
327;Trinidad y Tobago
328;Santa lucia
329;San Cristóbal y nieves
340;Argentina
341;Bolivia
342;Brasil
343;Colombia
344;Chile
345;Ecuador
346;Guyana
347;Paraguay
348;Perú
349;Surinam
350;Uruguay
351;Venezuela
390;Puerto rico
391;Aruba
392;Antillas neerlandesas
399;Otros América
401;Afganistán
402;Arabia saudita
403;Bahréin
404;Bangladesh
405;Myanmar
407;China
408;Emiratos árabes unidos
409;Filipinas
410;India
411;Indonesia
412;Iraq
413;Irán
414;Israel
415;Japón
416;Jordania
417;Camboya
418;Kuwait
419;Laos
420;Líbano
421;Malasia
422;Maldivas
423;Mongolia
424;Nepal
425;Omán
426;Pakistán
427;Qatar
428;República de Yemen
430;República de corea - corea del sur
431;República popular democrática de corea
432;Singapur
433;Siria
434;Sri Lanka
435;Tailandia
436;Turquía
437;Vietnam
438;Taiwán
439;Brunei
440;Islas Marshall
441;Yemen
442;Azerbaiyán
443;Kazajstán
444;Kirguistán
445;Tayikistán
446;Turkmenistán
447;Uzbekistán
448;Bhutan
499;Asia
501;Australia
502;Fiji
504;Nueva Zelanda
505;Papua nueva guinea
506;Islas Salomon
507;Samoa
508;Tonga
509;Vanuatu
511;Micronesia
512;Tuvalu
513;Islas Cook
514;Kiribati
515;Nauru
516;Palaos
517;Timor oriental
599;Oceanía
899;Otros países
999;Desconocido
